0 1
0 613
1 9
1 17
1 19
1 31
1 40
1 41
1 53
1 84
1 115
1 120
1 138
1 144
1 159
1 110
1 182
1 193
1 15
1 200
1 191
1 220
1 237
1 201
1 12
1 253
1 269
1 30
1 275
1 215
1 285
1 59
1 171
1 157
1 308
1 63
1 329
1 360
1 403
1 349
1 29
1 273
1 228
1 262
1 256
1 239
1 50
1 433
1 51
1 416
1 225
1 521
1 575
1 199
1 66
1 470
1 613
1 312
1 583
613 5
613 8
613 23
613 37
613 50
613 51
613 59
613 67
613 80
613 93
613 98
613 162
613 174
613 179
613 197
613 273
613 285
613 312
613 313
613 328
9 280
17 15
17 18
19 5
19 20
19 280
31 255
40 3
40 279
40 499
41 5
41 42
41 499
53 54
53 55
53 196
84 5
84 79
84 85
84 86
84 87
84 280
115 8
115 32
115 113
115 361
120 121
120 122
120 123
120 124
120 470
138 10
138 139
138 220
144 131
144 142
144 145
144 146
144 147
144 163
144 499
159 5
159 57
159 67
159 88
159 94
159 109
159 110
159 160
159 161
159 162
159 163
159 164
159 165
159 166
159 167
159 499
110 5
110 18
110 72
110 108
110 170
110 230
110 252
110 350
110 499
182 5
182 51
182 67
182 127
182 183
182 184
182 185
182 186
182 258
193 8
193 149
193 194
193 349
15 5
15 14
15 29
15 150
15 151
15 190
15 93
15 51
15 199
15 49
15 173
15 146
15 349
15 470
200 5
200 55
200 194
200 201
200 261
191 190
191 205
191 204
220 44
220 65
220 122
220 221
220 312
237 3
237 122
237 124
237 332
237 280
237 521
201 3
201 5
201 8
201 109
201 199
201 240
201 241
201 242
201 243
201 244
12 11
12 21
12 26
12 250
12 225
12 251
253 221
253 254
253 255
253 576
269 3
269 270
269 499
30 3
30 5
30 29
30 273
30 274
275 312
215 3
215 5
215 87
215 113
215 196
215 271
215 396
215 404
215 280
59 58
59 350
59 86
59 254
59 444
59 465
171 54
171 87
171 303
157 3
157 117
157 304
157 305
157 259
157 306
157 307
308 5
308 309
308 470
63 3
63 61
63 286
63 223
63 310
63 311
63 396
63 574
63 465
63 274
329 330
329 331
329 499
360 82
360 312
403 5
349 5
349 51
349 62
349 67
349 69
349 78
349 101
349 229
349 247
349 361
349 396
349 574
273 5
273 56
273 62
273 87
273 122
273 132
273 396
273 583
228 93
228 137
262 5
262 258
256 91
256 94
256 255
239 3
239 238
239 396
239 406
239 407
239 408
239 409
239 410
239 411
239 412
239 304
239 413
239 414
239 415
239 280
50 3
50 8
50 48
50 69
50 112
50 209
50 212
50 238
50 287
50 350
50 394
50 404
50 280
50 353
50 430
50 122
50 86
50 87
50 521
50 55
50 574
433 5
433 51
433 66
433 67
433 162
433 183
433 312
433 434
433 435
433 436
433 437
433 438
433 439
433 440
433 441
433 442
433 443
51 3
51 48
51 131
51 117
51 195
51 226
51 417
51 470
51 225
51 416
51 254
51 521
51 66
51 444
51 465
416 280
416 471
225 94
225 108
225 109
225 146
225 199
225 222
225 263
225 418
225 461
521 5
521 8
521 67
521 78
521 94
521 167
521 499
521 563
521 564
521 565
521 566
521 567
521 568
521 569
521 570
521 571
521 572
521 573
521 560
575 199
199 18
199 27
199 394
199 287
199 286
66 2
66 3
66 5
66 28
66 46
66 48
66 61
66 65
66 417
66 129
66 418
66 350
66 99
66 576
66 167
66 217
66 430
66 372
66 67
66 206
66 238
66 361
66 579
470 5
470 14
470 32
470 67
470 93
470 127
470 154
470 187
470 311
312 3
312 4
312 5
312 13
312 22
312 26
312 33
312 119
312 122
312 128
312 150
312 258
312 259
312 272
312 274
312 276
312 291
312 311
312 417
312 459
312 499
312 460
312 582
583 3
583 218
583 274
583 582
2 3
3 28
3 43
3 57
3 112
3 127
3 170
3 217
3 78
3 222
3 246
3 247
3 252
3 277
3 310
3 328
3 334
3 350
3 361
3 396
